2460268.500000000, A.D. 2023-Nov-20 00:00:00.0000,  1.956193960807238E-01,  6.641677232219095E+03,  4.990772469291306E+01,  2.722896160380185E+01,  3.154032301795622E+02,  2.460268475611775E+06,  4.821334375981100E-02,  1.015923921421426E+02,  1.220795763246425E+02,  8.256883867982504E+03,  9.872090503745912E+03,  7.466812544540496E+03,
2460268.513888889, A.D. 2023-Nov-20 00:20:00.0000,  1.956730818659724E-01,  6.643317664901012E+03,  4.991426852168638E+01,  2.716469040027405E+01,  3.155827288199673E+02,  2.460268475642915E+06,  4.819066200220682E-02,  1.592437348868366E+02,  1.656904039027526E+02,  8.259474493671010E+03,  9.875631322441008E+03,  7.470326927310405E+03,
2460268.527777778, A.D. 2023-Nov-20 00:40:00.0000,  1.950774116886411E-01,  6.651911607511734E+03,  4.993277688890657E+01,  2.713124837651533E+01,  3.155301073648531E+02,  2.460268562114763E+06,  4.815074212311285E-02,  2.171504478817357E+02,  2.059275588552179E+02,  8.264038932572052E+03,  9.876166257632369E+03,  7.476520280404907E+03,
2460268.541666667, A.D. 2023-Nov-20 01:00:00.0000,  1.956405336028900E-01,  6.647326715670169E+03,  4.992898367990981E+01,  2.712001209662665E+01,  3.154652357334795E+02,  2.460268562077950E+06,  4.814999491345275E-02,  2.750858038935858E+02,  2.528346775930999E+02,  8.264124428652403E+03,  9.880922141634637E+03,  7.476636303847640E+03,
2460268.555555556, A.D. 2023-Nov-20 01:20:00.0000,  1.952084015875932E-01,  6.643529232461338E+03,  4.990630499497651E+01,  2.706116703342866E+01,  3.156927883717840E+02,  2.460268562107036E+06,  4.823012553255676E-02,  3.326994393653617E+02,  3.197533685757469E+02,  8.254968423585522E+03,  9.866407614709706E+03,  7.464214451546251E+03,
2460268.569444444, A.D. 2023-Nov-20 01:40:00.0000,  1.960300881859334E-01,  6.646468541715929E+03,  4.993549758694088E+01,  2.702625737772970E+01,  3.157830323696517E+02,  2.460268562117399E+06,  4.812433931113784E-02,  3.046543810755676E+01,  4.471087356646354E+01,  8.267061296757895E+03,  9.887654051799860E+03,  7.480622178987131E+03,
2460268.583333333, A.D. 2023-Nov-20 02:00:00.0000,  1.954689354297882E-01,  6.643408169273720E+03,  4.991069061963974E+01,  2.700114784684974E+01,  3.156170784375374E+02,  2.460268562087870E+06,  4.820802495709504E-02,  8.849103831766899E+01,  1.104754371065199E+02,  8.257491179439656E+03,  9.871574189605592E+03,  7.467636359722237E+03,
2460268.597222222, A.D. 2023-Nov-20 02:20:00.0000,  1.957821192709675E-01,  6.641606749591372E+03,  4.991005042607490E+01,  2.693431633726821E+01,  3.157457490945847E+02,  2.460268562117227E+06,  4.819948168065108E-02,  1.461924771406485E+02,  1.565018412134970E+02,  8.258466901495254E+03,  9.875327053399136E+03,  7.468959985611553E+03,
2460268.611111111, A.D. 2023-Nov-20 02:40:00.0000,  1.951427419982595E-01,  6.650612841753546E+03,  4.992893380857492E+01,  2.689304979650165E+01,  3.157760089269627E+02,  2.460268648600176E+06,  4.815898377703694E-02,  2.040103949415983E+02,  1.965976058368574E+02,  8.263096065338785E+03,  9.875579288924022E+03,  7.475240791348558E+03,
2460268.625000000, A.D. 2023-Nov-20 03:00:00.0000,  1.954494614147609E-01,  6.649630633885376E+03,  4.993271905286443E+01,  2.688056044501365E+01,  3.156336102486149E+02,  2.460268648555089E+06,  4.814212190721130E-02,  2.620230934797016E+02,  2.410467989496618E+02,  8.265025396140323E+03,  9.880420158395271E+03,  7.477859008663158E+03,
2460268.638888889, A.D. 2023-Nov-20 03:20:00.0000,  1.954030918437152E-01,  6.642701095619162E+03,  4.990680711780768E+01,  2.683870642774496E+01,  3.159168319701496E+02,  2.460268648587780E+06,  4.822164147426663E-02,  3.195910287375875E+02,  3.020796376550430E+02,  8.255936641418069E+03,  9.869172187216976E+03,  7.465527696565726E+03,
2460268.652777778, A.D. 2023-Nov-20 03:40:00.0000,  1.960947957087665E-01,  6.645320275688960E+03,  4.993223945288373E+01,  2.678063868629359E+01,  3.158978961716219E+02,  2.460268648580732E+06,  4.813100186585316E-02,  1.745349482503818E+01,  2.618219710161334E+01,  8.266298364802646E+03,  9.887276453916331E+03,  7.479586670632017E+03,
2460268.666666667, A.D. 2023-Nov-20 04:00:00.0000,  1.953714993123571E-01,  6.645356716048816E+03,  4.991569439632202E+01,  2.677131815091117E+01,  3.158669852429077E+02,  2.460268648570515E+06,  4.819557729402833E-02,  7.535414773326704E+01,  9.784058518354378E+01,  8.258912914928609E+03,  9.872469113808402E+03,  7.469565055808674E+03,
2460268.680555556, A.D. 2023-Nov-20 04:20:00.0000,  1.958245269485921E-01,  6.640551704185023E+03,  4.990679974231298E+01,  2.670544707717407E+01,  3.158991315812638E+02,  2.460268648586550E+06,  4.820715566763862E-02,  1.331540468589667E+02,  1.470332056079905E+02,  8.257590447253689E+03,  9.874629190322357E+03,  7.467771018933345E+03,
2460268.694444444, A.D. 2023-Nov-20 04:40:00.0000,  1.952695889966257E-01,  6.648728186086721E+03,  4.992434716839675E+01,  2.665646614088046E+01,  3.160078549022762E+02,  2.460268735079606E+06,  4.816807271409022E-02,  1.908877771185457E+02,  1.874845178730308E+02,  8.262056578422067E+03,  9.875384970757414E+03,  7.473830272114916E+03,
